Year,Crop,Region,Season,Area,Annual_Rainfall,Average_Temperature,Fertilizer_Used,Pesticide_Used,Humidity,Production,Yield_Per_Ha
2007,Soybean,Tamil Nadu,Rabi,277.59,772.4,35.6,100.6,2.15,91.2,342220.25,1232.83
2018,Potato,Haryana,Rabi,333.75,1190.6,35.5,147.0,11.06,69.7,8365447.53,25065.01
2021,Sorghum,Tamil Nadu,Zaid,465.14,2459.4,26.7,381.4,14.86,58.6,371824.84,799.38
2008,Sorghum,Madhya Pradesh,Whole Year,343.95,647.7,34.6,346.5,14.46,79.1,81274.95,236.3
2022,Soybean,Andhra Pradesh,Whole Year,160.9,1777.2,28.3,257.4,10.91,63.3,239600.76,1489.13
2012,Maize,Gujarat,Whole Year,100.17,821.8,16.8,190.4,10.11,94.7,296276.93,2957.74
2008,Cotton,Rajasthan,Zaid,427.46,1400.3,39.0,142.5,19.41,74.6,159000.09,371.96
2006,Wheat,Rajasthan,Zaid,97.97,2061.1,39.0,250.0,16.5,34.4,201219.81,2053.89
2010,Cotton,Haryana,Rabi,81.64,1374.9,23.7,236.6,14.12,56.1,41984.42,514.26
2014,Millet,Tamil Nadu,Kharif,104.1,2072.1,39.7,323.3,4.31,77.5,55455.27,532.71
2008,Groundnut,Karnataka,Kharif,254.91,1237.9,35.5,374.8,16.49,84.8,170441.94,668.64
2022,Rice,Andhra Pradesh,Kharif,62.97,2498.6,25.8,165.1,15.12,82.9,247688.89,3933.44
2016,Groundnut,Punjab,Rabi,469.12,1258.8,24.0,122.2,19.84,93.5,711226.6,1516.09
2006,Cotton,Tamil Nadu,Kharif,483.16,628.6,41.3,191.0,3.09,61.8,192323.22,398.05
2014,Potato,Andhra Pradesh,Zaid,486.93,1184.1,34.2,203.1,14.45,39.1,8057935.3,16548.45
2008,Soybean,Maharashtra,Zaid,20.52,1933.7,25.2,64.0,19.59,72.4,20173.33,983.11
2018,Sunflower,Punjab,Whole Year,473.15,2165.5,32.3,351.6,9.52,34.6,552927.68,1168.61
2020,Barley,Rajasthan,Kharif,498.71,1312.2,30.4,398.5,14.8,93.3,309103.34,619.81
2019,Millet,Maharashtra,Zaid,471.27,1607.8,29.2,373.1,19.52,79.3,142159.46,301.65
2012,Soybean,Haryana,Whole Year,335.8,2158.8,32.4,351.2,11.18,93.8,440954.54,1313.15
2018,Cotton,West Bengal,Kharif,350.91,2089.8,29.5,397.4,14.13,54.5,65383.31,186.33
2012,Potato,Haryana,Kharif,62.0,1747.0,32.7,367.7,0.89,31.0,970177.46,15648.02
2020,Barley,Karnataka,Zaid,437.27,2093.1,39.5,290.9,10.63,63.9,867338.69,1983.53
2017,Rice,Madhya Pradesh,Whole Year,30.76,1567.0,41.8,108.4,5.49,37.9,123325.23,4009.27
2022,Sunflower,Andhra Pradesh,Whole Year,159.55,310.2,34.2,104.7,3.06,74.2,174850.14,1095.9
2019,Cotton,Madhya Pradesh,Zaid,495.58,390.8,40.1,67.1,14.32,62.3,197434.7,398.39
2017,Wheat,West Bengal,Zaid,211.74,2455.6,38.2,194.1,1.26,79.0,1165028.0,5502.16
2013,Sugarcane,Madhya Pradesh,Zaid,66.45,619.0,23.0,333.1,18.14,48.9,2428960.44,36553.2
2019,Barley,Punjab,Kharif,484.68,1189.9,40.2,221.6,10.6,83.9,747811.07,1542.9
2017,Cotton,Punjab,Zaid,492.09,2354.4,16.9,178.2,13.14,72.3,333175.14,677.06
2005,Potato,Bihar,Zaid,94.33,729.1,23.9,88.2,5.44,94.2,2239409.37,23740.16
2011,Soybean,Maharashtra,Rabi,432.54,2156.3,32.3,68.1,4.05,41.6,833997.7,1928.14
2013,Wheat,Karnataka,Zaid,195.82,2100.2,29.2,189.7,5.25,33.3,910481.51,4649.58
2005,Maize,Rajasthan,Zaid,191.3,2469.9,29.6,85.0,5.03,85.3,833567.29,4357.38
2016,Barley,Madhya Pradesh,Kharif,132.09,919.7,36.5,86.2,17.36,52.0,331575.52,2510.22
2012,Sunflower,Tamil Nadu,Whole Year,23.31,993.7,20.3,188.4,15.85,58.0,26226.35,1125.11
2015,Wheat,Tamil Nadu,Kharif,134.74,2286.3,41.5,226.0,17.13,90.2,491971.21,3651.26
2023,Potato,West Bengal,Rabi,27.83,815.0,26.8,115.3,14.83,58.6,686552.28,24669.5
2021,Soybean,Karnataka,Zaid,462.26,1505.4,40.6,289.6,13.05,49.4,452996.75,979.96
2012,Cotton,Karnataka,Zaid,331.2,1856.2,25.3,196.5,10.79,33.9,217530.51,656.8
2007,Groundnut,Punjab,Zaid,443.42,898.1,31.2,82.2,5.68,58.8,755731.23,1704.32
2007,Rice,Rajasthan,Zaid,358.93,2364.5,27.2,273.0,14.25,72.6,1049246.91,2923.26
2005,Potato,Andhra Pradesh,Zaid,66.51,1764.5,33.3,174.9,3.16,47.5,1866038.99,28056.52
2009,Sunflower,Rajasthan,Zaid,470.35,403.7,20.0,68.3,10.47,76.7,344005.12,731.38
2014,Groundnut,Uttar Pradesh,Rabi,450.05,598.6,25.8,381.8,4.31,61.1,201249.71,447.17
2011,Sunflower,Karnataka,Zaid,174.69,719.7,16.8,249.9,10.34,85.8,122677.4,702.26
2013,Sugarcane,Haryana,Zaid,56.66,838.9,31.1,217.2,6.23,40.5,2873097.74,50707.69
2011,Sunflower,Gujarat,Zaid,352.37,1907.5,41.0,350.7,1.54,79.2,339729.68,964.13
2013,Wheat,Karnataka,Rabi,364.45,495.7,16.2,377.9,10.32,90.6,271751.18,745.65
2012,Sugarcane,West Bengal,Zaid,448.52,1071.3,32.8,127.1,4.05,78.2,35347603.62,78809.43
2016,Rice,Madhya Pradesh,Rabi,27.28,2305.0,35.9,333.6,3.64,56.4,69699.62,2554.97
2006,Wheat,Haryana,Kharif,71.71,1524.7,20.8,340.9,8.0,45.0,184997.65,2579.8
2005,Sorghum,West Bengal,Zaid,299.53,884.1,22.4,69.0,7.55,36.4,339485.56,1133.39
2020,Soybean,Maharashtra,Whole Year,309.95,2405.5,20.4,299.2,17.41,71.8,375728.71,1212.22
2009,Wheat,Gujarat,Rabi,17.77,837.5,23.0,72.0,11.51,39.3,56322.15,3169.51
2007,Potato,Gujarat,Kharif,199.07,2291.2,18.0,258.1,17.16,84.5,4835237.44,24289.13
2016,Soybean,Punjab,Rabi,292.5,1896.7,25.0,284.2,3.36,92.4,442258.79,1512.0
2012,Groundnut,Karnataka,Rabi,369.22,1929.1,25.0,178.5,7.47,38.8,785832.8,2128.36
2007,Millet,Punjab,Kharif,158.76,1982.9,36.8,358.3,11.33,54.4,77711.51,489.49
2005,Barley,Tamil Nadu,Zaid,242.47,1414.5,36.6,330.2,3.49,90.9,364336.15,1502.6
2007,Millet,West Bengal,Zaid,407.21,2092.1,36.5,374.1,3.0,60.6,290222.1,712.71
2009,Cotton,Uttar Pradesh,Rabi,476.99,2139.6,30.3,160.2,13.4,64.8,350481.74,734.78
2019,Barley,Uttar Pradesh,Kharif,115.93,1093.1,23.8,57.5,13.25,78.6,288700.49,2490.3
2018,Sunflower,Tamil Nadu,Zaid,127.27,1180.8,26.1,334.0,5.07,43.7,130892.49,1028.46
2007,Barley,Maharashtra,Rabi,469.97,2255.3,23.6,128.0,4.93,93.6,1714024.07,3647.09
2005,Potato,Uttar Pradesh,Whole Year,198.56,1454.4,30.7,213.5,15.04,80.8,4361896.31,21967.65
2009,Potato,West Bengal,Kharif,359.46,2207.3,40.3,336.1,2.78,40.5,6547331.62,18214.35
2018,Maize,Uttar Pradesh,Whole Year,306.52,1678.9,22.7,125.6,18.5,37.2,1187805.45,3875.13
2011,Barley,Tamil Nadu,Whole Year,143.51,1605.8,27.4,159.2,18.9,90.8,369081.45,2571.82
2013,Rice,Haryana,Rabi,327.13,368.2,32.7,203.7,17.48,74.5,600541.88,1835.79
2019,Millet,Madhya Pradesh,Kharif,328.13,911.4,37.8,145.1,4.61,32.5,300013.99,914.31
2019,Groundnut,Madhya Pradesh,Zaid,296.63,1404.5,21.8,211.5,0.83,39.2,605600.77,2041.6
2014,Soybean,Punjab,Zaid,50.73,1592.1,22.6,53.4,18.77,33.1,72787.48,1434.8
2017,Cotton,Bihar,Rabi,497.59,1687.0,38.9,124.3,7.21,93.3,251023.01,504.48
2023,Barley,Andhra Pradesh,Zaid,200.81,1875.7,17.2,341.4,6.55,62.4,412868.57,2056.02
2011,Cotton,West Bengal,Zaid,319.49,1743.7,31.3,194.7,5.6,60.0,199949.15,625.84
2021,Groundnut,Punjab,Whole Year,443.0,2166.9,38.2,272.7,5.27,92.1,783910.38,1769.55
2008,Cotton,Gujarat,Whole Year,212.22,950.0,39.9,131.3,14.82,62.8,88222.1,415.71
2009,Sunflower,Bihar,Kharif,387.19,1711.5,15.3,277.5,18.2,63.7,409729.8,1058.21
2011,Groundnut,Rajasthan,Whole Year,485.94,412.6,25.0,400.0,15.83,94.0,81385.96,167.48
2017,Sunflower,Uttar Pradesh,Zaid,180.11,1356.4,21.9,258.4,13.65,37.2,179860.1,998.61
2019,Barley,Uttar Pradesh,Kharif,203.23,889.7,30.3,269.9,6.11,94.1,360214.63,1772.45
2015,Groundnut,Maharashtra,Kharif,452.88,1138.0,32.1,89.0,11.17,40.8,702759.25,1551.76
2008,Barley,Madhya Pradesh,Rabi,80.66,1080.3,42.0,191.2,5.12,60.7,170167.32,2109.69
2017,Sunflower,Punjab,Whole Year,15.27,432.9,28.8,351.3,2.67,51.9,5384.32,352.61
2011,Maize,Rajasthan,Kharif,454.54,1326.6,29.9,342.0,2.85,92.1,918712.51,2021.19
2023,Maize,Madhya Pradesh,Zaid,410.97,2488.2,26.2,232.8,12.27,61.6,1658876.14,4036.49
2006,Groundnut,Uttar Pradesh,Kharif,486.32,957.7,19.0,366.2,1.25,31.5,333355.86,685.47
2014,Potato,Gujarat,Kharif,30.06,1919.5,23.2,100.0,19.48,44.4,773806.8,25742.08
2017,Maize,Maharashtra,Rabi,78.93,1505.1,21.7,280.4,19.91,58.0,193237.88,2448.22
2010,Soybean,Punjab,Zaid,53.55,1015.5,36.6,137.1,3.41,74.0,76211.93,1423.19
2016,Potato,Maharashtra,Zaid,342.02,497.1,29.7,275.9,8.83,66.5,3677030.52,10750.92
2016,Soybean,Punjab,Whole Year,303.4,774.9,23.0,80.6,15.48,85.2,267683.31,882.28
2015,Maize,Karnataka,Zaid,180.31,2020.1,28.2,380.3,19.12,83.8,316733.9,1756.61
2011,Maize,Karnataka,Kharif,29.65,913.8,20.9,325.2,17.88,68.4,58102.78,1959.62
2005,Sorghum,Madhya Pradesh,Zaid,320.19,617.5,20.0,120.3,5.47,67.1,426883.12,1333.22
2005,Sorghum,Tamil Nadu,Zaid,285.49,1028.9,38.2,273.0,2.16,48.1,279602.81,979.38
2017,Barley,West Bengal,Kharif,57.34,1584.9,40.5,315.7,6.13,92.3,110899.75,1934.07
2013,Groundnut,Maharashtra,Rabi,454.55,1847.6,17.2,123.3,9.03,35.0,925578.22,2036.25
2007,Sugarcane,Tamil Nadu,Whole Year,100.28,1152.2,35.7,82.7,7.52,55.8,8071900.43,80493.62
2011,Sugarcane,Maharashtra,Whole Year,372.01,1395.9,27.2,173.1,15.59,73.0,26622955.83,71565.16
2010,Maize,Uttar Pradesh,Rabi,442.65,1300.8,25.5,97.5,5.53,91.5,1546344.53,3493.38
2012,Cotton,Andhra Pradesh,Kharif,290.16,319.8,33.6,248.0,17.24,62.6,38485.69,132.64
2013,Maize,Maharashtra,Whole Year,124.18,1170.3,22.2,198.4,4.9,88.2,463577.39,3733.11
2009,Sorghum,Uttar Pradesh,Rabi,155.32,1592.1,15.6,211.8,7.55,36.8,200401.36,1290.25
2005,Barley,Rajasthan,Rabi,442.99,1553.9,20.8,240.0,9.23,64.6,1059082.32,2390.76
2023,Maize,Karnataka,Rabi,149.83,1949.5,20.0,393.7,6.18,50.5,351192.77,2343.94
2014,Millet,Tamil Nadu,Whole Year,373.35,1774.8,15.9,327.4,15.44,81.7,313806.19,840.51
2016,Potato,Bihar,Whole Year,495.09,909.0,23.7,270.3,8.49,58.9,6699096.67,13531.07
2019,Cotton,Andhra Pradesh,Whole Year,499.91,862.4,27.8,177.3,17.8,60.9,249959.09,500.01
2013,Millet,Gujarat,Whole Year,267.21,1321.1,34.9,59.5,19.29,34.2,212041.57,793.54
2021,Barley,Karnataka,Zaid,413.45,1912.5,23.8,90.8,17.27,58.5,1416260.1,3425.47
2021,Barley,Tamil Nadu,Rabi,495.13,506.4,20.3,305.8,10.69,35.3,533333.97,1077.16
2016,Soybean,Madhya Pradesh,Zaid,187.96,2386.3,21.2,179.2,10.44,49.5,375695.85,1998.81
2011,Wheat,Andhra Pradesh,Rabi,126.95,1494.9,39.1,167.1,4.71,38.2,522361.09,4114.7
2006,Millet,Gujarat,Whole Year,58.0,974.1,20.5,361.1,12.05,51.7,27720.56,477.94
2007,Soybean,Haryana,Whole Year,71.31,1825.5,38.7,219.6,19.08,44.8,75076.08,1052.81
2021,Sorghum,Uttar Pradesh,Zaid,426.92,398.4,27.1,364.9,2.07,48.5,169723.99,397.55
2009,Rice,Haryana,Kharif,294.77,1365.7,40.2,360.3,15.17,39.6,335940.44,1139.67
2021,Cotton,Bihar,Whole Year,436.98,1369.1,26.0,78.1,17.46,58.6,287632.55,658.23
2021,Potato,Uttar Pradesh,Kharif,394.94,656.3,19.8,380.9,19.74,62.3,744995.75,1886.35
2021,Rice,Punjab,Rabi,337.2,2142.3,29.8,76.9,7.03,84.4,1065517.17,3159.9
2006,Groundnut,West Bengal,Zaid,305.05,2053.0,30.9,387.2,7.43,65.0,394145.14,1292.07
2006,Sunflower,Andhra Pradesh,Kharif,25.12,636.0,32.2,208.4,4.98,44.9,33049.7,1315.67
2009,Sorghum,Haryana,Kharif,436.27,1100.4,26.1,316.3,15.89,77.8,240422.66,551.09
2005,Sorghum,West Bengal,Whole Year,209.5,520.9,16.3,297.2,3.23,49.3,176694.86,843.41
2005,Rice,Andhra Pradesh,Kharif,280.33,2166.9,31.9,231.5,5.72,79.2,1028504.13,3668.9
2023,Millet,Tamil Nadu,Kharif,11.95,1011.3,40.2,266.8,6.26,55.2,6828.35,571.41
2006,Wheat,Madhya Pradesh,Rabi,468.1,1266.5,40.9,382.5,7.81,63.4,702059.85,1499.81
2016,Potato,Punjab,Zaid,451.47,1012.5,31.1,374.6,8.72,62.7,3682528.42,8156.75
2010,Millet,Tamil Nadu,Whole Year,272.1,982.1,15.5,279.0,11.4,92.1,119181.0,438.0
2008,Rice,Uttar Pradesh,Whole Year,289.08,1944.1,17.9,280.2,18.99,40.0,753396.12,2606.19
2015,Potato,Madhya Pradesh,Kharif,352.8,1944.6,37.5,136.4,5.32,91.0,12389987.57,35119.01
2021,Groundnut,Bihar,Rabi,133.08,1439.1,37.4,340.0,15.69,66.5,34422.9,258.66
2010,Millet,West Bengal,Kharif,111.74,1746.8,40.5,271.4,13.69,94.6,84683.99,757.87
2009,Sugarcane,Andhra Pradesh,Kharif,337.34,1425.7,30.2,339.2,2.76,67.3,20976054.29,62180.75
2006,Millet,Maharashtra,Whole Year,53.11,362.9,38.3,280.2,16.3,72.7,10708.09,201.62
2010,Barley,Madhya Pradesh,Kharif,227.58,445.2,37.3,154.8,2.27,78.7,595344.67,2615.98
2015,Sunflower,West Bengal,Kharif,246.89,1144.2,30.9,116.3,14.91,83.4,249751.87,1011.59
2020,Soybean,Rajasthan,Rabi,191.29,1949.4,36.2,76.9,14.46,61.0,296335.12,1549.14
2020,Cotton,Gujarat,Whole Year,93.45,2309.1,18.4,255.1,13.94,74.1,51168.02,547.54
2005,Sunflower,Haryana,Zaid,178.3,365.4,32.3,149.4,5.9,70.0,164816.86,924.38
2013,Millet,Andhra Pradesh,Rabi,169.44,1109.7,40.7,270.7,11.68,56.5,109337.85,645.29
2010,Wheat,Karnataka,Rabi,250.13,792.3,19.4,70.5,15.35,83.4,644758.71,2577.69
2020,Sunflower,Karnataka,Rabi,337.67,2093.5,35.1,181.5,12.93,42.5,554963.87,1643.51
2007,Potato,Gujarat,Whole Year,484.15,2161.1,23.7,141.2,16.18,40.9,13537157.95,27960.67
2008,Wheat,Madhya Pradesh,Kharif,72.94,754.1,37.1,179.6,13.91,77.9,217223.86,2978.12
2023,Sunflower,Uttar Pradesh,Zaid,436.64,1863.8,33.8,69.0,5.85,71.4,751328.04,1720.7
2007,Potato,Bihar,Whole Year,142.8,1909.9,40.0,303.5,3.48,50.6,3477426.86,24351.73
2023,Millet,West Bengal,Kharif,296.1,689.5,34.2,90.8,12.82,71.3,216508.69,731.2
2011,Potato,West Bengal,Rabi,273.82,1254.1,26.1,55.0,15.32,80.1,6135294.26,22406.3
2013,Maize,Bihar,Whole Year,278.92,1664.7,15.3,381.2,3.28,44.1,400563.71,1436.12
2005,Sorghum,Karnataka,Kharif,361.96,357.3,36.4,117.5,3.91,67.8,373858.8,1032.87
2012,Sunflower,West Bengal,Zaid,191.46,1190.1,26.0,339.8,0.74,83.6,155277.92,811.02
2011,Millet,Gujarat,Zaid,160.23,640.9,33.1,387.6,10.87,56.7,43211.23,269.68
2022,Sorghum,West Bengal,Kharif,426.56,1492.2,17.8,236.9,11.07,67.2,396434.44,929.38
2012,Sugarcane,Uttar Pradesh,Whole Year,110.83,2154.4,39.1,234.1,10.25,35.1,8961794.21,80860.73
2005,Potato,Haryana,Rabi,90.94,1454.5,26.8,178.6,6.66,84.0,2555621.5,28102.28
2015,Rice,Rajasthan,Kharif,8.79,379.2,39.8,199.0,8.84,81.7,19044.5,2166.61
2022,Sugarcane,Haryana,Rabi,106.08,365.2,34.1,218.7,15.44,59.7,3691382.43,34798.1
2014,Millet,Rajasthan,Zaid,259.75,1632.1,18.3,103.2,4.05,37.8,280834.24,1081.17
2007,Wheat,Maharashtra,Kharif,269.72,1021.6,30.6,177.7,4.43,72.9,934829.96,3465.93
2011,Maize,Bihar,Zaid,127.96,1559.9,39.6,335.6,13.51,67.2,204750.86,1600.12
2020,Groundnut,Haryana,Rabi,37.06,660.0,36.6,113.8,17.4,89.8,47899.42,1292.48
2020,Sorghum,Gujarat,Rabi,372.58,2009.1,26.3,305.4,7.14,48.2,461349.13,1238.26
2021,Soybean,Punjab,Kharif,379.23,2193.6,40.8,278.1,18.69,32.1,404102.94,1065.59
2006,Sorghum,Maharashtra,Kharif,498.92,2256.3,22.3,70.1,1.62,46.6,859429.32,1722.58
2005,Barley,Rajasthan,Kharif,450.11,969.0,25.1,57.9,2.81,57.8,1186311.09,2635.6
2020,Cotton,Bihar,Zaid,463.1,1753.6,35.2,173.4,9.47,40.1,348717.97,753.01
2016,Millet,Rajasthan,Rabi,399.3,913.9,21.3,292.3,14.61,93.7,235408.08,589.55
2009,Sugarcane,Maharashtra,Rabi,308.14,1978.1,28.9,165.6,7.73,44.5,30500578.07,98982.86
2009,Soybean,Rajasthan,Zaid,65.14,565.2,34.7,283.7,11.32,74.1,61994.03,951.7
2013,Wheat,Bihar,Kharif,311.53,1978.1,32.4,282.9,1.06,59.5,1232981.28,3957.83
2013,Wheat,Andhra Pradesh,Whole Year,28.92,1267.4,19.2,332.3,9.51,66.1,62933.9,2176.14
2007,Wheat,Punjab,Kharif,442.76,2182.2,32.0,84.8,5.23,90.6,2096646.56,4735.4
2023,Groundnut,Gujarat,Whole Year,241.43,1925.6,30.5,252.0,10.57,64.6,482608.97,1998.96
2020,Barley,Andhra Pradesh,Whole Year,349.04,1128.3,30.1,71.9,10.75,49.8,1080081.45,3094.43
2020,Wheat,Rajasthan,Zaid,27.07,2287.8,37.3,111.6,15.19,44.4,122469.34,4524.17
2007,Potato,Haryana,Rabi,267.59,923.3,20.0,163.9,11.03,88.0,5728709.86,21408.53
2005,Wheat,Andhra Pradesh,Rabi,151.33,2427.4,35.3,297.6,12.48,94.1,583866.14,3858.23
2015,Millet,Haryana,Rabi,143.2,1987.8,35.5,390.9,10.83,46.4,56066.97,391.53
2021,Barley,Maharashtra,Rabi,195.44,2479.5,34.5,169.9,19.81,76.9,503701.93,2577.27
2012,Sunflower,West Bengal,Zaid,1.32,418.6,28.7,232.4,15.94,62.9,1184.78,897.56
2008,Maize,Tamil Nadu,Whole Year,233.86,902.9,25.7,140.7,15.24,75.4,824129.12,3524.03
2010,Maize,Madhya Pradesh,Rabi,243.8,1930.8,25.7,286.4,12.73,92.7,730523.97,2996.41
2012,Barley,Bihar,Whole Year,431.7,2328.9,34.8,178.3,10.8,47.9,1586650.66,3675.35
2007,Cotton,Rajasthan,Zaid,224.81,363.3,28.4,218.6,7.22,78.1,75577.28,336.18
2020,Groundnut,Tamil Nadu,Kharif,182.41,300.0,24.1,248.7,15.79,58.5,172440.27,945.34
2007,Soybean,Punjab,Zaid,497.38,863.7,31.9,290.2,4.2,72.4,427565.53,859.64
2022,Potato,Haryana,Rabi,286.04,2176.1,37.6,71.0,1.21,56.4,8371328.64,29266.29
2018,Sorghum,Andhra Pradesh,Kharif,236.83,1987.7,16.7,244.2,14.11,76.0,264876.44,1118.42
2022,Millet,Tamil Nadu,Zaid,248.47,1048.6,41.2,200.9,3.32,51.9,266913.45,1074.23
2006,Rice,Uttar Pradesh,Zaid,404.78,304.4,17.6,96.8,18.12,61.7,963824.7,2381.11
2007,Maize,Rajasthan,Whole Year,171.0,1520.4,28.8,122.8,15.53,76.1,675883.22,3952.53
2020,Sunflower,Tamil Nadu,Zaid,195.19,823.5,30.1,359.4,12.24,32.8,95559.99,489.57
2013,Barley,Andhra Pradesh,Kharif,378.18,1940.3,18.7,355.1,6.62,51.3,659628.78,1744.22
2008,Soybean,Andhra Pradesh,Zaid,37.42,1282.0,39.7,61.7,12.94,65.5,50041.68,1337.3
2005,Barley,Punjab,Rabi,432.72,1792.9,27.7,291.3,9.8,34.8,796358.36,1840.35
2008,Sorghum,Karnataka,Whole Year,215.67,2175.1,18.9,244.0,6.18,75.7,343417.57,1592.33
2005,Soybean,Gujarat,Kharif,291.07,1478.7,34.2,378.9,18.93,82.9,9635.6,33.1
2018,Maize,Uttar Pradesh,Kharif,378.98,1039.1,32.9,367.8,3.66,40.6,555155.41,1464.87
2020,Wheat,Tamil Nadu,Zaid,133.76,1993.0,41.0,252.8,15.19,77.7,401496.38,3001.62
2012,Potato,Gujarat,Rabi,445.27,883.4,26.9,98.6,16.1,72.0,10250518.23,23020.9
2011,Barley,Uttar Pradesh,Whole Year,489.63,2261.3,22.2,210.9,19.06,56.7,1413379.01,2886.63
2007,Potato,Karnataka,Kharif,247.64,457.1,16.6,303.8,11.21,40.7,2919290.41,11788.44
2021,Potato,Tamil Nadu,Whole Year,468.53,2138.0,34.8,383.1,10.93,92.1,2537913.84,5416.76
2005,Potato,Uttar Pradesh,Zaid,1.56,501.4,31.7,177.3,18.45,60.2,22761.47,14590.69
2020,Sunflower,Gujarat,Rabi,447.22,423.5,41.3,324.6,16.12,41.9,69929.85,156.37
2016,Rice,Haryana,Zaid,156.21,1099.2,34.2,289.2,15.39,76.7,271172.46,1735.95
